Key,Id,English(en),Japanese(ja),Russian(ru),Spanish(es),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),German(de),French(fr),Kazakh(kk),Korean(ko),Polish(pl),Turkish(tr),Ukrainian(uk)
"TITLE_APP",96968105984,"MATE ENGINE","メイトエンジン","MATE ENGINE","MATE ENGINE","MATE ENGINE
","MATE ENGINE
","MATE ENGINE","MATE ENGINE","MATE ENGINE","MATE ENGINE","MATE ENGINE","MATE ENGINE","MATE ENGINE"
"ANIMATION_CHANGE_TIME",11105833312256,"Animation Change Time","モーションの持続時間","Время смены анимации","Tiempo de cambio de animación","动画变化时间","動畫變化時間
","Animationswechselzeit
","Temps de changement d'animation
","Анимацияны өзгерту уақыты","애니메이션 유지 시간","Czas zmiany animacji","Animasyon Değişme Süresi","Час зміни анімації "
"ANIMATION_TRANSITION_TIME",11236599128064,"Animation Transition Time","モーションの遷移時間","Время перехода анимации","Tiempo de trans. de animación","动画转场时间","動畫轉場時間
","Animationsübergangszeit
","Durée de la transition entre les animations
","Анимацияның ауысу уақыты","애니메이션 바뀌는 속도","Czas przejścia animacji","Animasyon Geçiş Süresi","Час переходу анімації"
"DANCE_VOLUME_THRESHOLD",11239019241472,"Start Dancing Vol. Threshold","ダンス開始音量のしきい値","Порог громкости для танца","Umbral de Volumen para bailar","开始舞蹈音量","開始舞蹈音量
","Tanz-Lautstärkeschwelle
","Seuil de volume pour danser
","Би үшін дыбыс қаттылығының шегі","댄스 시작 소리 기준","Początek tańca próg dzwięku","Dans Başlatma Ses Eşiği","Поріг гучності для танцю"
"AVATAR_ALWAYS_IN_FRONT",11241108004864,"Avatar Always In Front","アバターを最前面に表示","Аватар всегда поверх окон","Avatar siempre al frente","角色置顶","角色顯示在最上層
","Avatar immer im Vordergrund
","Avatar toujours au premier plan
","Аватар әрқашан терезелердің үстінде","항상 맨 앞에 두기","Awatar zawsze z przodu","Avatar Her Zaman Önde","Аватар завжди поверх вікон"
"AVATAR_CAN_DANCE",11243918188544,"Avatar Can Dance","アバターのダンスを有効にする","Возможность аватара танцевать","Avatar puede bailar","启用角色的舞蹈功能","角色會跳舞","Avatar kann tanzen
","L'avatar peut danser
","Би билей алады","아바타 댄스 가능","Awatar może tańczyć","Avatar Dans Edebilir","Можливість аватара танцювати "
"HEAD_FOLLOWS_MOUSE",11244643803136,"Head Follows Mouse","頭をマウスに追従させる","Голова следует за мышью","Cabeza sigue al mouse","头部望向鼠标指针","頭部會跟隨鼠標
","Kopf folgt der Maus
","La tête suit la souris
","Басы курсордың артынан жүреді","마우스를 따라 머리 회전","Gołowa podąża za myszką","Kafa Fareyi takip eder","Голова слідкує за мишкою"
"AVATAR_SIZE",11245205839872,"Avatar Size","アバターサイズ","Размер аватара","Tamaño del avatar","角色大小","角色大小
","Avatargröße
","Taille de l'avatar
","Аватар өлшемі","아바타 크기
","Wielkość awatara","Avatar Boyutu","Розмір аватару"
"SAVE",11245612687360,"Save","セーブ","Сохранить","Guardar","保存","儲存","Speichern","Sauvegarder","Сақтау","저장","Zapisz","Kaydet","Зберегти "
"RESET",11320741060608,"Reset","リセット","Сбросить","Restablecer","重置","重設","Zurücksetzen","Réinitialiser
","Қалпына келтіру","초기화
","Zresetuj","Sıfırla","Скинути"
"POLY_COUNT",11321303097344,"Polys","ポリゴン数","Полигоны","Polígo.","总计面数","總計面數
","Polygone
","Polygones
","Көпбұрыштар","폴리곤 수","Poligony","Çokgenler","Полігони"
"BONE_COUNT",11321839968256,"Bones","ボーン数","Кости","Huesos","总计骨骼","總計骨骼
","Knochen
","Os
","Сүйектер","뼈대 수","Kości","Kemikler","Кістки "
"FPS_LIMIT",11796140253184,"FPS Limit","FPS制限","Лимит FPS","Límite FPS","FPS上限
","FPS上限
","FPS-Limit
","Limite FPS
","FPS шегі
","FPS 제한
","Limit FPS","FPS-Sınırı","Ліміт FPS"
"SETTING",23418267230208,"Settings","設定","Настройки","Ajustes","设置","設定
","Einstellungen
","Paramètres
","Параметрлер","설정
","Ustawienia","Ayarlar","Налаштування "
"PET_VOLUME",23684911718400,"Pet Volume","アバター音量","Громкость питомца","Vol. de mascota","宠物音量","寵物音量
","Avatar Lautstärke","Vol. du compagnon
","Түлек дыбыс деңгейі
","아바타 음량","Głośność zwierzaka","Avatar Sesi","Гучність вихованця "
"EFFECTS_VOLUME",24123241652224,"Effects Volume","SE音量","Громкость эффектов","Vol. de efectos","效果音量","效果音量
","Effekt Lautstärke","Vol. des effets","Әсерлердің дыбыс деңгейі
","효과음 음량
","Głośność efektów","Efekt Sesi","Гучність ефектів "
"MENU_VOLUME",24123816271872,"Menu Volume","メニュー音量","Громкость меню","Vol. del menú","菜单音量","選單音量
","Menü Lautst.ärke","Vol. du menu","Мәзір дыбыс деңгейі
","메뉴 음량
","Głośność menu","Menü Sesi","Гучність меню"
"GRAPHICS",24124437028864,"Graphics","グラフィック","Графика","Gráficos","画质","畫質
","Grafik
","Graphismes","Графика","그래픽
","Grafika","Grafik","Графіка"
"ULTRA",24125049397248,"Ultra","ウルトラ","Ультра","Ultra","极致","極致
","Ultra
","Ultra","Ультра","울트라
","Ultra","Ultra","Ультра"
"VERY_HIGH",24125577879552,"Very High","最高","Очень высокие","Muy alto","非常高","非常高
","Sehr Hoch
","Très élevé
","Өте жоғары","매우 높음
","Bardzo wysoka","Çok Yüksek","Дуже висока"
"HIGH",24126186053632,"High","高","Высокие","Alto","高","高
","Hoch
","Élevé
","Жоғары","높음
","Wysoka","Yüksek","Висока"
"NORMAL",24126735507456,"Normal","中","Нормальные","Normal","中","中
","Normal
","Normal
","Қалыпты","보통
","Normalna","Normal","Нормальна"
"LOW",24509532856320,"Low","低","Низкие","Bajo","低","低
","Niedrig
","Faible","Төмен","낮음
","Niska","Düşük","Низка"
"STEAM_DLCS",24510153613312,"Steam DLCs","Steam DLC","DLC для Steam","DLC de Steam","Steam DLC","Steam DLC
","Steam-DLCs
","DLC Steam
","Steam үшін DLC","스팀 DLC
","DLC z Steam","Steam DLC’leri","DLC для Steam"
"FLOWER_HALO",24510665318400,"Flower Halo","フラワーヘイロー","Цветочный нимб","Aureola floral","花圈","花朵光環","Blumen-Heiligenschein
","Halo de fleurs
","Гүлді ореол","꽃 모양 헤일로","Kwiatowa Aureola","Çiçek Halkası","Квітковий німб"
"ADD",27326909767680,"Add","追加","Добавить","Añadir","添加","加入
","Hinzufügen
","Ajouter
","Қосу","추가","Dodaj","Ekle","Додати "
"REMOVE",27328117727232,"Remove","外す","Удалить","Eliminar","移除","移除
","Entfernen
","Supprimer
","Жою","삭제","Usuń","Kaldır","Видалити "
"LANGUAGE",37370367827968,"Language","言語","Язык","Idioma","语言","語言
","Sprache
","Langue
","Тіл","언어
","Język","Dil","Мова"
"LOAD_MOD",71028682236403712,"Load Mod","MODを読み込む","Загрузить мод","Cargar mod","加载模组","載入模組
","Mod laden
","Charger un mod
","Модтарды жүктеп алу","모드 불러오기
","Załaduj Mod","Mod Yükle","Завантажити моди"
"EXPERIMENTAL",71028682257375232,"Experimental","実験的設定","Экспериментально","Configuración experimental","实验性功能","實驗性功能","Experimentell
","Expérimental
","Эксперименттік параметрлер","실험적 기능
","Eksperymentalne","Deneysel","Експериментально"
"WINDOW_SITTING",71028682257375233,"Window and Taskbar Sitting","ウィンドウやタスクバーの上に座る","Сидение на окнах и панели задач","Sentado en la ventana o la barra de tareas","坐在窗口和任务栏上","坐在視窗及工作列上","Auf Fenster und Taskleiste sitzen","Assis sur la fenêtre et la barre des tâches
","Терезе мен тапсырмалар тақтасында отыру
","창과 작업 표시줄 위에 앉기","Siadanie na oknach i pasku zadań"," Pencere ve Görev Çubuğuna Oturma","Сидіння на вікнах та панелі завдань"
"WINDOW_SITTING_WARN",71028682261569536,"This feature may cause bans in games with anti-cheat software.","この機能はアンチチートがあるゲームでBANされる可能性があります","Эта функция может привести к бану в играх с античитерским ПО","Esta función puede causar baneos en juegos con anti-trampas.","此功能可能导致在带有反作弊的游戏中被封禁。","此功能可能導致在帶有反作弊的遊戲中被封號。","Diese Funktion könnte in Spielen mit Anti-Cheat zu einem Bann führen.","Cette fonction peut entraîner des bannissements dans les jeux avec anti-triche.","Терезе позициясын бақылау анти-чат бағдарламасы бар ойындарға тыйым салуға әкелуі мүмкін.","이 기능은 안티치트가 있는 게임에서는 계정이 제한될 수 있으니 주의해 주세요.","Ta opcja może powodować bany w grach z systemami Anti-Cheat","Bu Özellik, Hile Karşıtı Yazılım Kullanan Oyunlarda Yasaklanmanıza Neden Olabilir.","Це налаштування може спричинити бан у іграх з античітерським ПЗ"
"DISCORD_RPC",71028682261569537,"Discord Rich Presence","Discordアクティビティを有効にする","Расширенный статус Discord","Discord Presencia Enriquecida","Discord 状态显示","Discord 狀態顯示","Discord Rich Presence
","Présence enrichie Discord
","Discord Rich Presence","디스코드 활동 상태 표시","Wzbogacona obecność na Discordzie","Discord Rich Presence","Discord Rich Presence"
"LANG_ENG",71028682261569538,"English","English","English","English","English","English","English","English
","English","영어
","English","English","English"
"LANG_RU",71028682261569539,"Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский
","Русский","러시아어
","Русский","Русский
","Русский
"
"LANG_JA",71028682261569540,"日本語","日本語","日本語","日本語","日本语","日本語","日本語","日本語","日本語","일본어
","日本語","日本語","日本語"
"LANG_ES",71028682261569541,"Español","Español","Español","Español","Español","Español","Español","Español","Español","스페인어
","Español","Español
","Español
"
"LANG_CH",71028682261569542,"中文","中文","中文","中文","简体中文","繁體中文（台灣）","中文","中文","中文","중국어
","中文","中文","中文"
"LANG_KOREAN",71028682261569543,"한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어"
"TUT_INTRO_TITLE",71028682261569544,"Welcome to メイトエンジン (MateEngine)","メイトエンジン (MateEngine) へようこそ！","Добро пожаловать в メイトエンジン (MateEngine)","Bienvenido a メイトエンジン (MateEngine)","欢迎使用 MateEngine","歡迎使用 メイトエンジン (MateEngine)","Willkommen bei メイトエンジン (MateEngine)","Bienvenue sur メイトエンジン (MateEngine)","メイトエンジン (MateEngine)'ге қош келдіңіз","메이트엔진 (MateEngine)에 오신 것을 환영해요.","Witamy w メイトエンジン (MateEngine)","メイトエンジン (MateEngine)’e Hoş Geldiniz","Вітаємо у メイトエンジン (MateEngine)"
